------------------------------------------------------------
 solve prev v1=1 elect=1 gen=9e+20 reg.gen=1 absorp=0 dir.gen=x
------------------------------------------------------------
Position (um), Total Current (A)
       138.372741995,        64.4662680992
       138.709415334,        64.4662680992
       139.046088672,        64.4662680992
        139.38276201,        64.4662680992
       139.719435348,        64.4662680992
       140.056108686,        64.4662680992
       140.392782025,        64.4662680992
       140.729455363,        64.4662680992
       141.066128701,        64.4662680992
       141.402802039,        64.4662680992
       141.739475377,        64.4662680992
       142.076148715,        64.4662680992
       142.412822054,        64.4662680992
       142.749495392,        64.4662680992
        143.08616873,        64.4662680992
       143.422842068,        64.4662680992
       143.759515406,        64.4662680992
       144.096188745,        64.4662680992
       144.432862083,        64.4662680992
       144.769535421,        64.4662680992
       145.106208759,        64.4662680992
       145.442882097,        64.4662680992
       145.779555436,        64.4662680992
       146.116228774,        64.4662680992
       146.452902112,        64.4662680992
        146.78957545,        64.4662680992
       147.126248788,        64.4662680992
       147.462922126,        64.4662680992
       147.799595465,        64.4662680992
       148.136268803,        64.4662680992
       148.472942141,        64.4662680992
       148.809615479,        64.4662680992
       149.146288817,        64.4662680992
       149.482962156,        64.4662680992
       149.819635494,        64.4662680992
       150.156308832,        64.4662680992
        150.49298217,        64.4662680992
       150.829655508,        64.4662680992
       151.166328847,        64.4662680992
       151.503002185,        64.4662680992
       151.839675523,        64.4662680992
       152.176348861,        64.4662680992
       152.513022199,        64.4662680992
       152.849695537,        64.4662680992
       153.186368876,        64.4662680992
       153.523042214,        64.4662680992
       153.859715552,        64.4662680992
        154.19638889,        64.4662680992
       154.533062228,        64.4662680992
       154.869735567,        64.4662680992
       155.206408905,        64.4662680992
       155.543082243,        64.4662680992
       155.879755581,        64.4662680992
       156.216428919,        64.4662680992
       156.553102258,        64.4662680992
       156.889775596,        64.4662680992
       157.226448934,        64.4662680992
       157.563122272,        64.4662680992
        157.89979561,        64.4662680992
       158.236468949,        64.4662680992
       158.573142287,        64.4662680992
       158.909815625,        64.4662680992
       159.246488963,        64.4662680992
       159.583162301,        64.4662680992
       159.919835639,        64.4662680992
       160.256508978,        64.4662680992
       160.593182316,        64.4662680992
       160.929855654,        64.4662680992
       161.266528992,        64.4662680992
        161.60320233,        64.4662680992
       161.939875669,        64.4662680992
       162.276549007,        64.4662680992
       162.613222345,        64.4662680992
       162.949895683,        64.4662680992
       163.286569021,        64.4662680992
        163.62324236,        64.4662680992
       163.959915698,        64.4662680992
       164.296589036,        64.4662680992
       164.633262374,        64.4662680992
       164.969935712,        64.4662680992
        165.30660905,        64.4662680992
       165.643282389,        64.4662680992
       165.979955727,        64.4662680992
       166.316629065,        64.4662680992
       166.653302403,        64.4662680992
       166.989975741,        64.4662680992
        167.32664908,        64.4662680992
       167.663322418,        64.4662680992
       167.999995756,        64.4662680992
       168.336669094,        64.4662680992
       168.673342432,        64.4662680992
       169.010015771,        64.4662680992
       169.346689109,        64.4662680992
       169.683362447,        64.4662680992
