------------------------------------------------------------
 solve vstep=0.1 nsteps=5 elect=1
------------------------------------------------------------
Position (um), Electric Field (V/cm)
       79.4549078124,       -14.8809527569
       79.7915811506,       -14.8809527569
       80.1282544888,       -14.8809527569
        80.464927827,       -14.8809527569
       80.8016011652,       -14.8809527569
       81.1382745034,       -14.8809527569
       81.4749478416,       -14.8809527569
       81.8116211798,       -14.8809527569
       82.1482945179,       -14.8809527569
       82.4849678561,       -14.8809527569
       82.8216411943,       -14.8809527569
       83.1583145325,       -14.8809527569
       83.4949878707,       -14.8809527569
       83.8316612089,       -14.8809527569
       84.1683345471,       -14.8809527569
       84.5050078853,       -14.8809527569
       84.8416812235,       -14.8809527569
       85.1783545616,       -14.8809527569
       85.5150278998,       -14.8809527569
        85.851701238,       -14.8809527569
       86.1883745762,       -14.8809527569
       86.5250479144,       -14.8809527569
       86.8617212526,       -14.8809527569
       87.1983945908,       -14.8809527569
        87.535067929,       -14.8809527569
       87.8717412671,       -14.8809527569
       88.2084146053,       -14.8809527569
       88.5450879435,       -14.8809527569
       88.8817612817,       -14.8809527569
       89.2184346199,       -14.8809527569
       89.5551079581,       -14.8809527569
       89.8917812963,       -14.8809527569
       90.2284546345,       -14.8809527569
       90.5651279727,       -14.8809527569
       90.9018013108,       -14.8809527569
        91.238474649,       -14.8809527569
       91.5751479872,       -14.8809527569
       91.9118213254,       -14.8809527569
       92.2484946636,       -14.8809527569
       92.5851680018,       -14.8809527569
         92.92184134,       -14.8809527569
       93.2585146782,       -14.8809527569
       93.5951880163,       -14.8809527569
       93.9318613545,       -14.8809527569
       94.2685346927,       -14.8809527569
       94.6052080309,       -14.8809527569
       94.9418813691,       -14.8809527569
       95.2785547073,       -14.8809527569
       95.6152280455,       -14.8809527569
       95.9519013837,       -14.8809527569
       96.2885747219,       -14.8809527569
         96.62524806,       -14.8809527569
       96.9619213982,       -14.8809527569
       97.2985947364,       -14.8809527569
       97.6352680746,       -14.8809527569
       97.9719414128,       -14.8809527569
        98.308614751,       -14.8809527569
       98.6452880892,       -14.8809527569
